outcome	comparison	Resid. Df	Resid. Dev	Df	Deviance	Pr(>Chi)
covid_result_binary	rf_vs_null	2266	3139.2343735707786	NA	NA	NA
covid_result_binary	rf_vs_null	2259	2887.0326021434407	7	252.20177142733792	9.417311606349446e-51
covid_result_binary	abo_vs_null	2266	3139.2343735707786	NA	NA	NA
covid_result_binary	abo_vs_null	2263	3129.5551183552534	3	9.679255215525245	0.021498898252177337
covid_result_binary	abo_rh_vs_null	2266	3139.2343735707786	NA	NA	NA
covid_result_binary	abo_rh_vs_null	2259	3118.106606111028	7	21.12776745975043	0.0035855795720725883
covid_result_binary	abo_rf_vs_rf	2259	2887.0326021434407	NA	NA	NA
covid_result_binary	abo_rf_vs_rf	2256	2876.96346690924	3	10.06913523420053	0.017987510371999523
covid_result_binary	abo_rh_rf_vs_rf	2259	2887.0326021434407	NA	NA	NA
covid_result_binary	abo_rh_rf_vs_rf	2252	2868.3002369731926	7	18.73236517024816	0.00906838567403546
died_binary	rf_vs_null	1088	953.4780659687495	NA	NA	NA
died_binary	rf_vs_null	1081	810.5757200007963	7	142.90234596795324	1.2526882441712738e-27
died_binary	abo_vs_null	1088	953.4780659687495	NA	NA	NA
died_binary	abo_vs_null	1085	947.0609478489971	3	6.417118119752445	0.09298909879907188
died_binary	abo_rh_vs_null	1088	953.4780659687495	NA	NA	NA
died_binary	abo_rh_vs_null	1082	931.8559647699207	6	21.622101198828886	0.0014173253075443458
died_binary	abo_rf_vs_rf	1081	810.5757200007963	NA	NA	NA
died_binary	abo_rf_vs_rf	1078	805.0076809174063	3	5.568039083389976	0.13462529100672793
died_binary	abo_rh_rf_vs_rf	1081	810.5757200007963	NA	NA	NA
died_binary	abo_rh_rf_vs_rf	1075	792.5611480874305	6	18.014571913365785	0.0061958821828188735
intubation_binary	rf_vs_null	1088	1274.2385112752752	NA	NA	NA
intubation_binary	rf_vs_null	1081	1247.0798231878634	7	27.158688087411747	3.120559743456311e-4
intubation_binary	abo_vs_null	1088	1274.2385112752752	NA	NA	NA
intubation_binary	abo_vs_null	1085	1270.2354014517136	3	4.0031098235615445	0.26112852093540573
intubation_binary	abo_rh_vs_null	1088	1274.2385112752752	NA	NA	NA
intubation_binary	abo_rh_vs_null	1082	1267.0368513295516	6	7.201659945723577	0.3025999187152886
intubation_binary	abo_rf_vs_rf	1081	1247.0798231878634	NA	NA	NA
intubation_binary	abo_rf_vs_rf	1078	1243.5908474518124	3	3.4889757360510885	0.32219474812348053
intubation_binary	abo_rh_rf_vs_rf	1081	1247.0798231878634	NA	NA	NA
intubation_binary	abo_rh_rf_vs_rf	1075	1240.4046317817515	6	6.675191406111935	0.35193212245347627
